Recipe Title,Category,Ingredients,Instructions,Prep Time,Cook Time,Total Time,Servings
30-Minute Sindhi Style Prawn Fry,mains,"['¼ cup oil canola, sunflower or vegetable', '½ pound shrimp or prawn pre-cooked and thawed', '½ teaspoon salt or to taste', '½ yellow onion thinly sliced in half rings', '1 teaspoon cumin seeds', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 teaspoon cumin powder', '1 teaspoon coriander powder', '½ teaspoon garam masala powder', '½ teaspoon red chili flakes', '2 bird eye’s chilies finely chopped', '2 tablespoon cilantro  finely chopped']","['Heat ¼ cup of neutral oil in a saucepan. Add shrimp or prawn, salt, and fry for 5-7 minutes until cooked through.', 'Remove from saucepan and drain on paper towel.', 'Reheat remaining oil and add cumin seeds. Fry for 30 seconds or until aromatic.', 'Add chopped onion and fry for 5-7 minutes until limp and translucent.', 'Add crushed ginger and garlic, and fry for 30 seconds to 1 minutes.', 'Add ground spices and fry for 1 minute, until they stop smelling raw. Add a splash water to deglaze the pan if needed.', 'Add diced chilies, cilantro, and cooked shrimp/prawns. Fry and coat in the masala for a couple of minutes. Serve immediately with roti or naan.']",5,20,25,4
30-Minute Sindhi Style Prawn Fry,seafood,"['¼ cup oil canola, sunflower or vegetable', '½ pound shrimp or prawn pre-cooked and thawed', '½ teaspoon salt or to taste', '½ yellow onion thinly sliced in half rings', '1 teaspoon cumin seeds', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 teaspoon cumin powder', '1 teaspoon coriander powder', '½ teaspoon garam masala powder', '½ teaspoon red chili flakes', '2 bird eye’s chilies finely chopped', '2 tablespoon cilantro  finely chopped']","['Heat ¼ cup of neutral oil in a saucepan. Add shrimp or prawn, salt, and fry for 5-7 minutes until cooked through.', 'Remove from saucepan and drain on paper towel.', 'Reheat remaining oil and add cumin seeds. Fry for 30 seconds or until aromatic.', 'Add chopped onion and fry for 5-7 minutes until limp and translucent.', 'Add crushed ginger and garlic, and fry for 30 seconds to 1 minutes.', 'Add ground spices and fry for 1 minute, until they stop smelling raw. Add a splash water to deglaze the pan if needed.', 'Add diced chilies, cilantro, and cooked shrimp/prawns. Fry and coat in the masala for a couple of minutes. Serve immediately with roti or naan.']",5,20,25,4
40-Minute Pakistani Style Hariyali Chicken,mains,"['¾ cup cilantro roughly chopped and tightly packed', '¼ cup mint  tightly packed', ""1-2 bird's eye chilies"", '1 ½ cup full-fat yogurt lightly whisked', '⅓ cup neutral oil  canola/sunflower/vegetable', '1 pound (~450 grams) boneless chicken diced', '1  teaspoon salt or to taste', '2 teaspoon crushed garlic', '2 teaspoon crushed ginger', '2 teaspoon red chili flakes']","['Add cilantro, green chilies, mint and yogurt to a food processor and pulse until well-mixed', 'Heat oil in a medium-sized saucepan or skillet. Add crushed garlic and fry on low heat for roughly 30 seconds or until fragrant.', 'Increase heat to medium. Add diced chicken, salt, crushed ginger and red chili flakes. Sear until no longer pink, roughly 2-5 minutes.', 'Lower heat and add the yogurt mixture. Stir until chicken is well-coated in the masala.', 'Once it comes to a simmer, partially cover the saucepan with a lid, and let the hara masala bubble for roughly 10 minutes.', 'Remove the lid and increase heat to high. Stir continuously to boil out any excess water and until the oil begins to separate from the sauce.']",15,25,40,4
40-Minute Pakistani Style Hariyali Chicken,meat and poultry,"['¾ cup cilantro roughly chopped and tightly packed', '¼ cup mint  tightly packed', ""1-2 bird's eye chilies"", '1 ½ cup full-fat yogurt lightly whisked', '⅓ cup neutral oil  canola/sunflower/vegetable', '1 pound (~450 grams) boneless chicken diced', '1  teaspoon salt or to taste', '2 teaspoon crushed garlic', '2 teaspoon crushed ginger', '2 teaspoon red chili flakes']","['Add cilantro, green chilies, mint and yogurt to a food processor and pulse until well-mixed', 'Heat oil in a medium-sized saucepan or skillet. Add crushed garlic and fry on low heat for roughly 30 seconds or until fragrant.', 'Increase heat to medium. Add diced chicken, salt, crushed ginger and red chili flakes. Sear until no longer pink, roughly 2-5 minutes.', 'Lower heat and add the yogurt mixture. Stir until chicken is well-coated in the masala.', 'Once it comes to a simmer, partially cover the saucepan with a lid, and let the hara masala bubble for roughly 10 minutes.', 'Remove the lid and increase heat to high. Stir continuously to boil out any excess water and until the oil begins to separate from the sauce.']",15,25,40,4
Bagara Baingan (Eggplant with Tempering),mains,"['1- inch tamarind pulp', '¾ cup hot water', '4 tablespoon canola/sunflower/vegetable oil', '½ medium red onion sliced in half rings', '1 ½ teaspoon ginger paste', '1 ½ teaspoon garlic paste', '3 baby eggplants thinly sliced crosswise', 'Salt to taste', '12 oz full-fat yogurt slightly whipped', '1 teaspoon birista thinly sliced dried onion (optional)', 'Handful of roughly chopped cilantro for garnish optional']","['Place tamarind pulp in a bowl, and add roughly 1 cup hot water (see notes). Squeeze the tamarind to soften it and make it paste-like. Remove seeds. Set the tamarind water aside.', 'Heat 1 tablespoon of oil in a small sauce pan. Add the ½ sliced red onion and brown on medium heat till soft.', ""Add the spices listed under masala paste and roast them on low heat till they change color and become fragrant (about 10 minutes). Make sure they don't burn. Once done, grind the onion and spices in a food processor or spice grinder to create a smooth paste. Set aside."", 'Heat 1 tablespoon of oil in a medium-sized sauce pan. Add remainder of the chopped onion. Turn up heat and fry till soft and translucent. Add ginger and garlic paste and fry for a few seconds. Add splash of water to deglaze the pan as needed.', 'Add the ground masala paste and fry till aromatic.', 'Lower heat, and layer the sliced eggplant on top of the onion and paste.', 'Slowly strain the tamarind water into the pan while squeezing the tamarind to infuse it with more flavor.', 'Add salt.', 'Turn up the heat to bring the tamarind water to a boil. Once it begins to simmer, lower heat to medium and cover the pan with a tight lid. Turn heat off when the eggplant softens (about 10-15 minutes).', 'Layer the eggplant onto a serving dish. Drizzle with whipped yogurt. Top with birista.', 'For the tadka, 2 tablespoon oil. Add kadi patta (curry leaves), dried red chilies, cumin seeds and mustard seeds in quick succession as they change color. Remove from heat.', 'Pour the tadka (with oil) over the eggplant. Add cilantro for garnish.']",15,45,60,4
Bagara Baingan (Eggplant with Tempering),sides,"['1- inch tamarind pulp', '¾ cup hot water', '4 tablespoon canola/sunflower/vegetable oil', '½ medium red onion sliced in half rings', '1 ½ teaspoon ginger paste', '1 ½ teaspoon garlic paste', '3 baby eggplants thinly sliced crosswise', 'Salt to taste', '12 oz full-fat yogurt slightly whipped', '1 teaspoon birista thinly sliced dried onion (optional)', 'Handful of roughly chopped cilantro for garnish optional']","['Place tamarind pulp in a bowl, and add roughly 1 cup hot water (see notes). Squeeze the tamarind to soften it and make it paste-like. Remove seeds. Set the tamarind water aside.', 'Heat 1 tablespoon of oil in a small sauce pan. Add the ½ sliced red onion and brown on medium heat till soft.', ""Add the spices listed under masala paste and roast them on low heat till they change color and become fragrant (about 10 minutes). Make sure they don't burn. Once done, grind the onion and spices in a food processor or spice grinder to create a smooth paste. Set aside."", 'Heat 1 tablespoon of oil in a medium-sized sauce pan. Add remainder of the chopped onion. Turn up heat and fry till soft and translucent. Add ginger and garlic paste and fry for a few seconds. Add splash of water to deglaze the pan as needed.', 'Add the ground masala paste and fry till aromatic.', 'Lower heat, and layer the sliced eggplant on top of the onion and paste.', 'Slowly strain the tamarind water into the pan while squeezing the tamarind to infuse it with more flavor.', 'Add salt.', 'Turn up the heat to bring the tamarind water to a boil. Once it begins to simmer, lower heat to medium and cover the pan with a tight lid. Turn heat off when the eggplant softens (about 10-15 minutes).', 'Layer the eggplant onto a serving dish. Drizzle with whipped yogurt. Top with birista.', 'For the tadka, 2 tablespoon oil. Add kadi patta (curry leaves), dried red chilies, cumin seeds and mustard seeds in quick succession as they change color. Remove from heat.', 'Pour the tadka (with oil) over the eggplant. Add cilantro for garnish.']",15,45,60,4
Bhindi Masala (Okra Masala),mains,"['½ cup oil canola/vegetable/sunflower', '1 pound  okra thinly sliced crosswise', '1 medium-sized onion thinly sliced in half rings', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 teaspoon red chili powder preferably Kashmiri', '½ teaspoon turmeric powder', '½ teaspoon cumin powder', '4 roma tomatoes roughly diced', 'Salt to taste', '¼ teaspoon garam masala powder for dusting']","['Heat oil. Fry okra on medium heat until it stops being sticky, about 10 minutes. Remove from heat. Remove okra with a slotted spoon and drain on paper towel.', 'Reheat oil and add onion. Fry on medium-low heat until translucent and soft, about 7 minutes.', 'Add ginger and garlic paste, and fry 30 seconds – 1 minute.', 'Add ground spices (red chili, turmeric and cumin powder), and fry 30 seconds – 1 minute until aromatic. Add a splash of water to deglaze the pan if needed.', 'Add tomatoes and fry on high heat for about 5 minutes until they begin to soften and break down. Add salt.', 'Once the masala is ready, add fried okra and stir gently on medium-low heat until well-mixed, about 2-3 minutes.', 'Place in serving dish and dust with garam masala powder.']",30,30,60,4
Bhindi Masala (Okra Masala),sides,"['½ cup oil canola/vegetable/sunflower', '1 pound  okra thinly sliced crosswise', '1 medium-sized onion thinly sliced in half rings', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 teaspoon red chili powder preferably Kashmiri', '½ teaspoon turmeric powder', '½ teaspoon cumin powder', '4 roma tomatoes roughly diced', 'Salt to taste', '¼ teaspoon garam masala powder for dusting']","['Heat oil. Fry okra on medium heat until it stops being sticky, about 10 minutes. Remove from heat. Remove okra with a slotted spoon and drain on paper towel.', 'Reheat oil and add onion. Fry on medium-low heat until translucent and soft, about 7 minutes.', 'Add ginger and garlic paste, and fry 30 seconds – 1 minute.', 'Add ground spices (red chili, turmeric and cumin powder), and fry 30 seconds – 1 minute until aromatic. Add a splash of water to deglaze the pan if needed.', 'Add tomatoes and fry on high heat for about 5 minutes until they begin to soften and break down. Add salt.', 'Once the masala is ready, add fried okra and stir gently on medium-low heat until well-mixed, about 2-3 minutes.', 'Place in serving dish and dust with garam masala powder.']",30,30,60,4
Bhindi Masala (Okra Masala),vegetarian mains,"['½ cup oil canola/vegetable/sunflower', '1 pound  okra thinly sliced crosswise', '1 medium-sized onion thinly sliced in half rings', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 teaspoon red chili powder preferably Kashmiri', '½ teaspoon turmeric powder', '½ teaspoon cumin powder', '4 roma tomatoes roughly diced', 'Salt to taste', '¼ teaspoon garam masala powder for dusting']","['Heat oil. Fry okra on medium heat until it stops being sticky, about 10 minutes. Remove from heat. Remove okra with a slotted spoon and drain on paper towel.', 'Reheat oil and add onion. Fry on medium-low heat until translucent and soft, about 7 minutes.', 'Add ginger and garlic paste, and fry 30 seconds – 1 minute.', 'Add ground spices (red chili, turmeric and cumin powder), and fry 30 seconds – 1 minute until aromatic. Add a splash of water to deglaze the pan if needed.', 'Add tomatoes and fry on high heat for about 5 minutes until they begin to soften and break down. Add salt.', 'Once the masala is ready, add fried okra and stir gently on medium-low heat until well-mixed, about 2-3 minutes.', 'Place in serving dish and dust with garam masala powder.']",30,30,60,4
Bhuna Gosht (Stewed Meat),mains,"['4 tablespoon oil canola/vegetable oil', '1 large onion thinly sliced in half rings', '4 tablespoon crushed tomatoes', '2.2 lbs beef stewing cubes cut in 1-2 inch pieces', '1 cup full-fat yogurt', '1 ½ salt to taste or to taste', '½ teaspoon red chili powder', '2 teaspoon garam masala powder', '2 teaspoon cumin powder', '4 garlic cloves crushed']","['Lightly whisk the yogurt and stir in the ground spices, salt and crushed garlic.', 'Coat the meat in the marinade, and leave in the fridge for 2 hours or more.', 'Heat oil in a stockpot on medium-low heat. Sauté the onion for about 7-10 minutes till it softens.', 'Raise heat to medium-high and add the marinated meat. Fry till brown, about 5 minutes.', 'Add the tomatoes, give it a quick stir and add 1 ½ cup water. Bring to boil and cover with tight fitting lid.', 'Dial heat to low, and let it cook for 2 hours while stirring occasionally. Add more water as necessary.', 'Once the meat is tender, it’s ready to serve. Garnish will finely chopped cilantro and green chilies.']",15,120,240,4
