Recipe Title,Category,Ingredients,Instructions,Prep Time,Cook Time,Total Time,Servings
Mommy's Mutton Pulao (Yakhni Pulao),bread and rice,"['3 pounds (~ 1 ½ kilogram) mutton washed, trimmed, and cut in small pieces', '4 medium-sized yellow or red onions thinly sliced in half rings', '2 black cardamom', '4 cloves', '2- inch cinnamon stick', '1 tablespoon cumin seeds', '2 tablespoons crushed garlic', '2 tablespoons salt or to taste', '⅓ cup neutral oil canola/sunflower/vegetable', '3 cups basmati rice washed in several changes of water and preferably soaked overnight']","['Add meat in a large pot of salted water (I add 1 tablespoon of salt at this stage) with black cardamom, cloves, cinnamon stick, cumin seeds, 2 sliced onions, and 1 tablespoon of crushed garlic. Bring to boil, cover pot and simmer on low heat until mutton is tender, about 1 ½ to 2 hours.', 'Once the meat is tenderized, remove the meat with a slotted spoon, and set aside.', 'Strain the bone broth, and set aside.', 'In a large pot, heat oil. Once the oil begins to shimmer, add the remaining sliced onion, and fry for about 15 minutes on medium-low heat or until a deep golden brown.', 'Add crushed garlic, and fry for roughly 30 seconds or until fragrant.', 'Add the mutton, salt, and fry for 8-10 minutes on medium-high heat.', 'Add 6 cups of the strained mutton broth to the pot. Check for salt, and bring to a boil. You can put the leftover of the broth in airtight containers, and freeze for later use.', 'Add rice, and let the water boil out, about 10 minutes.', 'Once the water boils out, wrap lid with a clean kitchen towel and place it securely on the pot. Let rice steam on very low heat for 10 minutes.', 'Place pulao on serving platter and fluff with a fork.']",10 minutes,2 hours,3 hours,6
Bohra Style Keema Khichdi (Ground Meat and Lentil Rice),bread and rice,"['1 cup basmati rice washed and soaked overnight', '1 cup split moong daal washed and soaked overnight', '1 teaspoon salt  or to taste']",['Preheat oven to 350°F.'],10 minutes,1 minute,1 hour,6
Matar Pulao (Vegan Pilaf with Peas),bread and rice,"['⅓ cup oil canola/sunflower/vegetable', '1 medium yellow onion sliced in half rings', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 black cardamom', '1- inch cinnamon stick', '1 bay leaf', '½ teaspoon black peppercorns', '½ teaspoon cumin seeds', '1 cup  peas', '2 teaspoons salt or to taste', '2 cups rice']","['Heat oil in a stockpot and add onions. Fry on medium-low heat until they are a medium golden brown, about 12 minutes.', 'Add crushed ginger and garlic, and fry for 30 seconds.', 'Add whole spices (cardamom, cinnamon stick, bay leaf, black peppercorns, cumin seeds) and fry for 1 minute.', 'Add peas and fry for a few seconds.', 'Add 4 cups water, salt and rice. Bring to boil.', 'Lower to a simmer, and let the water boil out, about 10 minutes.', 'Once the water has boiled out, remove from heat. Wrap a tight-fitting lid with a cloth and place it firmly on the pot. Bring the dial back to the lowest point and let the rice steam for 12 minutes.', 'Remove from heat, place in serving dish and fluff the rice with a fork.']",5 minutes,40 minutes,45 minutes,4
Pakistani Style Chana Pulao (Chickpea Pilaf),bread and rice,"['1 large yellow onion thinly sliced in half rings', '⅓ cup canola/sunflower/vegetable oil', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', ""2 bird's eye chilies half slit"", '4 cloves', '8 peppercorns', '1 black cardamom', '1 teaspoon cumin seeds', '¼ teaspoon turmeric powder', '1 14-ounce can chickpeas drained', '1 teaspoon salt or to taste', '1 ½ cups basmati rice rinsed in several changes of water', '4 cups water']","['Heat oil in a large stockpot, and add onions. Fry for 10 minutes on medium-low heat until golden brown.', 'Add crushed ginger and garlic, and fry on low heat for one minute.', 'Add chilies and fry for a few seconds.', 'Add whole and ground spices. Fry for 2-3 minutes or until fragrant.', 'Stir in chickpeas.', 'Add water, salt and rice, and bring to a boil.', 'Lower to a simmer, and let the water boil out, about 10 minutes.', 'Once the water has boiled out, bring the heat down to the lowest possible point. Wrap tight fitting lid with a cotton cloth, cover pot with it, and let the rice steam for 8-10 minutes.', 'Remove from heat and place on serving platter. Fluff with a fork.']",5 minutes,25 minutes,30 minutes,4
Shahnaz's Tahri (Rice with Potatoes),bread and rice,"['⅓ cup canola sunflower or vegetable oil', '1 teaspoon crushed garlic', '1 teaspoon crushed ginger', '½ teaspoon kalonji/nigella seeds', '½ teaspoon turmeric powder', '1 teaspoon red chili powder', '2 medium-sized potatoes diced', '2 cups long-grained rice', '1 ½ teaspoon salt']","['Heat oil in a medium-sized stockpot. Lower heat and add crushed ginger and garlic. Fry for 30 seconds, making sure they don’t burn.', 'Add kalonji, turmeric and red chili powder and fry for about a minute till they stop smelling raw. Deglaze the pot with a splash of water if needed.', 'Increase heat and add potatoes. Add salt. Fry till they are cooked through, about 10 minutes.', 'Add rice and stir it in with the potatoes.', 'Add 4 cups water and bring to a boil. Lower heat to a simmer and let the water boil out, another 10 minutes. Remove from heat.', 'Once the water is boiled out, tightly wrap a lid with a cloth and firmly place on pot. Turn the heat back up and dial to lowest possible point. Let the rice steam for another 10 minutes.', 'Remove from heat, and serve with a curry of your choice, or simply a side of yogurt or chutney.']",5 minutes,30 minutes,35 minutes,4
Prawn Biryani,bread and rice,"['2 ½ cups basmati rice washed in several changes of water', '4 small green cardamoms', '2 large black cardamoms', '2- inch cinnamon stick', '2 bay leaves optional', 'Salt to taste']","['Bring a large pot of water (minimum of about 4 quart) to a rolling boil. Bring to a simmer and add small and large cardamom, cinnamon stick, bay leaves and salt (I add about 1 tbsp).', 'Add rice and cook on low heat for not more than 5 - 7 minutes. Once the rice is half-cooked, immediately drain it into a colander* (See Notes for how I sequence this step).', 'Heat oil in a heavy-bottomed stockpot. Once it begins to shimmer, brown onions on medium-low heat for 10 - 15 minutes till they color evenly (medium to deep brown). Traditionally in a biryani, you are supposed to brown onions for close to half an hour on low heat. For that, you require a very heavy-bottomed pan that allows you to brown them without burning them. Since I use a simple stainless steel stockpot, I stick to about 10 minutes.', 'Add a little bit of salt (I add about ½ teaspoon at this stage).', 'Add crushed ginger and garlic and stir for roughly 30 seconds – 1 minute. Make sure they don’t burn.', 'Add cumin powder, coriander powder, red chili flakes and turmeric powder** (see Notes on best practice). Do a taste test and if you want to add more salt, do it now (I add another ½ teaspoon here). Stir for roughly a minute or two till they stop smelling raw. Deglaze the pan with a splash of water if needed.', 'Increase heat and add chopped tomatoes. Stir continuously till the tomatoes become soft and break down, about 5-7 minutes.', 'Add prawn and stir on high heat for about 5-7 minutes till it’s fully cooked.', 'Add chopped green chili and cilantro. Remove from heat.', 'In a separate stockpot, add half of the cooked rice. If you are using saffron, lightly dry-roast the saffron threads in an empty frying pan and then crumble them into a little bit of hot milk or water. Pour half of it on the rice and give a quick stir to spread the color. Rushdie also adds some butter at this stage.', 'Put the prawns on the bed of rice and cover with layer of remaining rice. Pour the rest of the saffron on top of the rice and stir gently without disturbing the prawn masala.', 'To put the biryani on ‘dum’, turn the heat up and then, dial it to the lowest point. Tightly wrap the lid with a cotton cloth and cover the biryani with it for about 10 minutes.', 'Once ready, gently mix the prawn and rice (taking special care to not break the rice) and place in large serving platter. Garnish with fresh cilantro and chilies.']",20 minutes,1 hour,1 hour,6
Izzah's Lachha Paratha (Layered Flatbread),bread and rice,"['2 cups atta durum wheat flour, plus more for dusting', '1 cup water  + 2 tablespoon water if needed', '¼ teaspoon salt or to taste', 'Spreadable butter as needed oil or ghee may also be used']","['Combine the atta and salt in the bowl of a stand mixer fitted with a dough attachment.', 'Turn the mixer on to medium speed to start mixing. Slowly add in 1 cup of water, letting it mix with the dough before adding more. If the dough seems dry, add the additional 2 tablespoon of water. If it seems too wet, dust it with a little more atta.', 'Continue to knead on medium speed until a smooth, dry, and flexible ball of dough forms. It should start wrapping itself around the dough attachment.', 'Remove the dough, place in an airtight container, and refrigerate until ready to use. (It is nice, but not necessary, to let the dough rest for 10-15 minutes to allow the gluten to develop. It makes it easier to handle.)', 'Once you are ready to cook the parathas, place spreadable butter, atta for dusting, and a rolling pin near your workstation. Dust your fingers with the dry atta, and take a medium-sized piece of dough (around 90-100 grams) and form into a round ball. Dust the atta on both sides, pressing to form a patty about 3 inches in diameter.', 'Meanwhile, heat a tawa, heavy-bottomed (preferably cast iron) or flat griddle over medium heat.', 'While the tawa is heating, roll the paratha out to 5-6 inches in diameter and spread about 2 teaspoon of butter onto the flattened dough. If your butter is cold, dotting pieces of it onto the dough is fine too.', 'Fold in half from the top to the bottom. Then spread 1 teaspoon of butter onto the folded dough. Starting from the top, roll down swiss-roll style until a long log is formed. Roll this log, especially from the middle, to make it thinner and as even as possible until it’s about 18 inches long. Then roll tightly into itself from one edge to another. It will look like a cinnamon roll from top. Toward the end, secure the loose end of the dough gently toward the center. Dust both sides with the atta again and roll this out once more until it is around 8-9 inches in diameter. Dust as needed while rolling and do not apply too much pressure.', 'Place the paratha on the hot tawa. As the bottom of the paratha begins to cook, add 1-2 teaspoon of butter to the top. Once the bottom is partly cooked (this will take about 10-15 seconds), use a spatula to flip over and add butter on the other side. Cook on both sides for 2-3 minutes, adding butter to dry spots as needed. Once the paratha is golden and crispy on both sides, remove from heat.']",N/A,N/A,N/A,4
Asghar's Lobia Chawal (Red Beans with Rice),bread and rice,"['2 cups basmati rice', '1 cup red beans rinsed and soaked overnight', 'Salt to taste I put in about 2 tbsp', '1 tablespoon cumin seeds']","['Bring a large pot of water, about 5 quarts, to a boil.', 'Add red beans, cover pot with lid, and let it simmer for roughly 2 hours or till beans are soft.', 'While beans are cooking, wash basmati rice well, and let them soak in water.', 'About an hour in, add salt and cumin seeds to the beans. Keep an eye on the water to make sure you have enough leftover for the rice. If you are running low, add hot water as needed. I added about 3 cups worth.', ""Once the beans are cooked through, check for salt, and add more if needed. Again, check if you have enough water leftover to boil the rice. If you don't, add hot water now."", 'Remove from heat, and let it cool for about 20 minutes.', 'After it has cooled down, bring the water back to boil, and add rice.', 'Cover the pot with a tight-fitting lid, and let rice and beans simmer on medium heat till the rice has absorbed the water, about 8-10 minutes.', 'Tightly wrap the lid with a cloth, and place securely back on the pot. Dial heat to the lowest point, and let rice steam undisturbed for 12 minutes.\xa0Remove from heat.', 'Place rice on platter and fluff with a fork, taking care not to smash the beans.']",N/A,N/A,N/A,6
Spicy Aloo Sabzi (Potato Curry),breakfast,"['⅓ cup neutral oil canola/sunflower/vegetable', '½ teaspoon kalonji (nigella seeds)', '4 (~9 ounces or 250 grams) small onions thinly sliced in half rings', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '½ teaspoon turmeric powder', '1 teaspoon coriander powder', '1 teaspoon red chili powder', '1 teaspoon salt or to taste', '2 roma tomatoes roughly chopped', ""1 bird's eye chili  diced"", '3 (~1 pound or 500 grams) potatoes peeled and diced in ¾ to 1-inch cubes', '½ cup cilantro finely chopped', 'Juice of ½ lemon']","['Heat oil. Add kalonji (nigella seeds) and fry for a few seconds until they begin to pop.', 'Add chopped onion and brown on medium-low heat for 5-7 minutes.', 'Add crushed ginger and garlic and fry for 30 seconds or until fragrant.', 'Add ground spices (turmeric, red chili and coriander powder) and fry for 30 seconds – 1 minute until aromatic. Splash with water to deglaze the pan if necessary.', 'Add chili, tomatoes and salt. Fry on high heat to soften the tomatoes, about 5 minutes.', 'Add potatoes and stir well to coat in masala.', 'Add ½ - 1 cup water - just enough to cover the potatoes - and bring to boil. Lower heat and let the masala simmer in uncovered saucepan until potatoes are done. Check for salt and spice, and adjust as necessary.', 'Turn off heat and gently fold in diced cilantro. Top with lemon juice. Place a tight fitting lid on the saucepan and let the potatoes steam for another 5 minutes.']",15 minutes,20 minutes,35 minutes,4
Sweet Dalia (Cracked Wheat Porridge),breakfast,"['½ cup dalia or cracked wheat', '2 cardamom pods cracked', '2 ½ cups water', '¼ teaspoon salt', '1 ½ tablespoon brown sugar or to taste', '½ cup milk']","['Heat saucepan, and add dalia and cardamom pods. On high heat, roast the dalia until it changes color slightly, about 5 minutes.', 'Add water, salt and sugar, and bring to boil. Lower heat, and let the dalia simmer uncovered for 7-8 minutes or until the dalia is cooked, and nearly all the water has boiled out. It is important that you do not let the dalia become completely dry. During this step, keep scraping the bottom of the pot with your spatula to prevent the dalia from sticking.', 'Bring heat to low, and add milk. Stir vigorously for about 2 minutes or until you get the desired consistency. Remove from heat and serve immediately.']",N/A,20 minutes,20 minutes,2
